area,bath_rooms,link,price,rooms,zone
104,3,https://www.lahaus.com/p/apartamento-en-aves-maria-sabanta-tres-alcobas/sabaneta,440,3,"    Las Lomitas, Sabaneta, Antioquia, Colombia  "
87,2,https://www.lahaus.com/p/apartamento-en-venta-vereda-canaveralejo-97784/sabaneta,375,3,"    El Trapiche, Sabaneta, Antioquia, Colombia  "
79,2,https://www.lahaus.com/p/apartamento-paraventa-codigo-2764/sabaneta,325,3,"    La Doctora, Sabaneta, Antioquia, Colombia  "
75,2,https://www.lahaus.com/p/apartamento-en-el-trapiche-sabaneta-tres-alcobas-72565/sabaneta,285,3,"    El Trapiche, Sabaneta, Antioquia, Colombia  "
75,2,https://www.lahaus.com/p/apartamento-en-mayorca-sabaneta-tres-alcobas/sabaneta,360,3,"    Virgen del Carmen, Sabaneta, Antioquia, Colombia  "
57,2,https://www.lahaus.com/p/lisboa-mi-ciudad-97446/sabaneta,225,3,"    Las Lomitas, Sabaneta, Antioquia, Colombia  "
68,2,https://www.lahaus.com/p/apartamento-en-venta-sector-betania-sabaneta-cod-19130/sabaneta,220,3,"    Aves María, Sabaneta, Antioquia, Colombia  "
127,2,https://www.lahaus.com/p/apartamento-en-sabaneta-aves-maria-con-3-habitaciones-127-mt2/sabaneta,390,3,"    Aves María, Sabaneta, Antioquia, Colombia  "
66,2,https://www.lahaus.com/p/bulevar-del-alcazar-40569/sabaneta,320,3,"    Restrepo Naranjo, Sabaneta, Antioquia, Colombia  "
62,2,https://www.lahaus.com/p/apto-nuevo-en-venta-sabaneta-antioquia-100568/sabaneta,282,3,"    San José, Sabaneta, Antioquia, Colombia  "
60,2,https://www.lahaus.com/p/lisboa-mi-ciudad-3-habitaciones/sabaneta,235,3,"    Las Lomitas, Sabaneta, Antioquia, Colombia  "
65,2,https://www.lahaus.com/p/apartamento-en-venta-vegas-de-san-jose-109221/sabaneta,265,3,"    San José, Sabaneta, Antioquia, Colombia  "
100,2,https://www.lahaus.com/p/apartamento-en-sabaneta-sabaneta-17442/sabaneta,430,3,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
60,2,https://www.lahaus.com/p/apartamento-en-venta-en-sabaneta-97492/sabaneta,260,3,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
90,2,https://www.lahaus.com/p/apartamento-en-venta-de-90-m2-aves-maria/sabaneta,340,3,"    Aves María, Sabaneta, Antioquia, Colombia  "
74,2,https://www.lahaus.com/p/parques-de-san-remo-102215/sabaneta,270,3,"    El Trapiche, Sabaneta, Antioquia, Colombia  "
120,2,https://www.lahaus.com/p/apartamento-en-el-carmelo-sabaneta-120mt-tres-alcobas-balcon-70169/sabaneta,420,3,"    El Carmelo, Sabaneta, Antioquia, Colombia  "
76,2,https://www.lahaus.com/p/apartamento-en-sector-entreamigos-sabaneta-3-habitaciones/sabaneta,315,3,"    Aves María, Sabaneta, Antioquia, Colombia  "
85,2,https://www.lahaus.com/p/apartamento-en-venta-vereda-canaveralejo-97706/sabaneta,360,3,"    El Trapiche, Sabaneta, Antioquia, Colombia  "
180,2,https://www.lahaus.com/p/apartamento-en-aves-marias-sabaneta-con-3-habitaciones-180-mt2/sabaneta,420,3,"    Las Lomitas, Sabaneta, Antioquia, Colombia  "
81,2,https://www.lahaus.com/p/apartamento-sabaneta-la-vaquita-piso-14/sabaneta,295,3,"    El Carmelo, Sabaneta, Antioquia, Colombia  "
89,2,https://www.lahaus.com/p/apartamento-paraventa-codigo-17480/sabaneta,220,4,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
61,2,https://www.lahaus.com/p/vendo-apartamento-de-61-m2-aliadas-sabaneta/sabaneta,250,3,"    Restrepo Naranjo, Sabaneta, Antioquia, Colombia  "
75,2,https://www.lahaus.com/p/apartamento-en-asdesillas-sabaneta-3-habitaciones-75m2/sabaneta,330,3,"    Ancon, Sabaneta, Antioquia, Colombia  "
94,3,https://www.lahaus.com/p/apartamento-en-calle-larga-sabaneta-94mt-tres-alcobas-balcon-70150/sabaneta,220,3,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
57,2,https://www.lahaus.com/p/apartamento-en-venta-las-lomitas-sabaneta-107411/sabaneta,229,3,"    Las Lomitas, Sabaneta, Antioquia, Colombia  "
81,2,https://www.lahaus.com/p/apartamento-en-aves-marias-sabaneta-con-3-habitaciones-81-15-mt2/sabaneta,305,3,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
67,2,https://www.lahaus.com/p/apartamento-en-el-carmelo-sabaneta-con-3-habitaciones-67-mt2/sabaneta,250,3,"    El Carmelo, Sabaneta, Antioquia, Colombia  "
60,2,https://www.lahaus.com/p/apartamento-en-venta-en-entreamigos-sabaneta/sabaneta,230,3,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
88,2,https://www.lahaus.com/p/apartamento-paraventa-codigo-17342/sabaneta,340,3,"    San José, Sabaneta, Antioquia, Colombia  "
69,2,https://www.lahaus.com/p/apartamento-en-ancon-sabaneta-3-habitaciones-69m2/sabaneta,270,3,"    Ancon, Sabaneta, Antioquia, Colombia  "
77,2,https://www.lahaus.com/p/apartamento-en-venta-loma-san-jose-104209/sabaneta,348,3,"    San José, Sabaneta, Antioquia, Colombia  "
70,2,https://www.lahaus.com/p/messantia-103081/sabaneta,320,3,"    La Doctora, Sabaneta, Antioquia, Colombia  "
97,3,https://www.lahaus.com/p/vendo-apartamento-sabaneta-san-jose-piso-7/sabaneta,380,3,"    Cañaveralejo, Sabaneta, Antioquia, Colombia  "
65,2,https://www.lahaus.com/p/apartamento-en-aves-maria-sabaneta-con-3-habitaciones-65-mt2/sabaneta,233,3,"    Las Lomitas, Sabaneta, Antioquia, Colombia  "
135,3,https://www.lahaus.com/p/apartamento-en-aves-marias-sabaneta-cuatro-alcobas/sabaneta,360,4,"    Aves María, Sabaneta, Antioquia, Colombia  "
109,3,https://www.lahaus.com/p/apartamento-para-la-venta-en-aves-maria-sabaneta-cod-5159/sabaneta,370,3,"    Las Lomitas, Sabaneta, Antioquia, Colombia  "
93,2,https://www.lahaus.com/p/apartamento-en-venta-en-sabaneta-97853/sabaneta,375,3,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
74,2,https://www.lahaus.com/p/apartamento-74-mts2-ubicado-sabaneta-pan-de-azucar-3-habitaciones/sabaneta,320,3,"    Pan de Azúcar, Sabaneta, Antioquia, Colombia  "
57,2,https://www.lahaus.com/p/apartamento-en-venta-sector-calla-larga-sabaneta-cod-19058/sabaneta,245,3,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
66,2,https://www.lahaus.com/p/apartamento-en-las-lomitas-sabaneta-con-3-habitaciones-66-mt2-68698/sabaneta,255,3,"    El Carmelo, Sabaneta, Antioquia, Colombia  "
65,2,https://www.lahaus.com/p/la-mejor-ubicacion-en-sabaneta/sabaneta,260,3,"    Restrepo Naranjo, Sabaneta, Antioquia, Colombia  "
76,2,https://www.lahaus.com/p/apartamento-en-venta-sector-betania-sabaneta-cod-19129/sabaneta,320,3,"    La Doctora, Sabaneta, Antioquia, Colombia  "
160,5,https://www.lahaus.com/p/apartamento-en-sabaneta-35687/sabaneta,280,4,"    Aves María, Sabaneta, Antioquia, Colombia  "
70,2,https://www.lahaus.com/p/apartamento-en-venta-betania-sabaneta-cod-11842/sabaneta,298,3,"    Aves María, Sabaneta, Antioquia, Colombia  "
87,2,https://www.lahaus.com/p/luxury-55842/sabaneta,309,3,"    Calle Larga, Sabaneta, Antioquia, Colombia  "
88,2,https://www.lahaus.com/p/apartamento-de-88m2-en-el-trapiche-sabaneta-con-tres-habitaciones/sabaneta,240,3,"    El Trapiche, Sabaneta, Antioquia, Colombia  "
80,2,https://www.lahaus.com/p/apartamento-de-80m2-en-la-doctora-sabaneta-con-tres-habitaciones/sabaneta,310,3,"    La Doctora, Sabaneta, Antioquia, Colombia  "
115,2,https://www.lahaus.com/p/apartamento-en-aves-maria-sabaneta-con-3-habitaciones-115mt2/sabaneta,390,3,"    La Doctora, Sabaneta, Antioquia, Colombia  "
87,2,https://www.lahaus.com/p/apartamento-en-aves-maria-sabaneta-con-3-habitaciones-86-87-mt2/sabaneta,350,3,"    Aves María, Sabaneta, Antioquia, Colombia  "
108,2,https://www.lahaus.com/p/prestige-trapiche-54464/sabaneta,455,3,"    El Trapiche, Sabaneta, Antioquia, Colombia  "
84,2,https://www.lahaus.com/p/apartamento-en-restrepo-naranjo-sabaneta-84mt-tres-alcobas-balcon/sabaneta,320,3,"    Restrepo Naranjo, Sabaneta, Antioquia, Colombia  "
68,2,https://www.lahaus.com/p/apartamento-en-venta-en-sabaneta-loma-san-jose-22881/sabaneta,312,3,"    San José, Sabaneta, Antioquia, Colombia  "
