area,bath_rooms,link,prize,rooms,zone
78,3,https://www.lahaus.com/p/apartamento-en-sector-loma-de-los-bernal-belen-3-habitaciones-66462/medellin,350,3,"    Loma de los Bernal, Medellín, Antioquia, Colombia  "
72,3,https://www.lahaus.com/p/apartamento-72mt2-el-estadio-carlos-e-restrepo-3-habitaciones/medellin,290,3,"    Carlos E. Restrepo, Medellín, Antioquia, Colombia  "
140,4,https://www.lahaus.com/p/apartamento-en-medellin-belen-san-bernardo-cuenta-con-cuatro-alcobas/medellin,260,4,"    Belén Centro, Medellín, Antioquia, Colombia  "
86,3,https://www.lahaus.com/p/vitenza-105746/medellin,400,3,"    Loma de los Bernal, Medellín, Antioquia, Colombia  "
98,3,https://www.lahaus.com/p/apartamento-en-el-poblado-santa-maria-de-los-angeles-con-3-habitaciones/medellin,430,3,"    Alejandría, Medellín, Antioquia, Colombia  "
169,4,https://www.lahaus.com/p/venta-apartamento-en-prado-centro/medellin,215,4,"    El Chagualo, Medellín, Antioquia, Colombia  "
105,3,https://www.lahaus.com/p/apartamento-en-la-mota-belen-105mt-tres-alcobas-patio/medellin,320,3,"    Mota, Medellín, Antioquia, Colombia  "
69,3,https://www.lahaus.com/p/aura-13184/medellin,320,3,"    Loma de los Bernal, Medellín, Antioquia, Colombia  "
103,3,https://www.lahaus.com/p/apartamento-en-venta-florida-nueva-cod-13809/medellin,470,3,"    Corazón de Jesús, Medellín, Antioquia, Colombia  "
127,3,https://www.lahaus.com/p/apartamento-en-laureles-barrio-laureles-con-3-habitaciones-127-mt2/medellin,470,3,"    Barrio Laureles, Medellín, Antioquia, Colombia  "
80,3,https://www.lahaus.com/p/apartamento-en-rosales-belen-tres-alcobas-4229/medellin,500,3,"    Barrio Laureles, Medellín, Antioquia, Colombia  "
112,3,https://www.lahaus.com/p/venta-de-apartamento-en-medellin-laureles/medellin,480,3,"    Lorena, Medellín, Antioquia, Colombia  "
95,4,https://www.lahaus.com/p/venta-apartamento-en-belen-loma-de-los-bernal-2piso/medellin,350,4,"    Loma de los Bernal, Medellín, Antioquia, Colombia  "
85,3,https://www.lahaus.com/p/apartamento-en-calasanz-85-mts-1-parqueadero/medellin,350,3,"    Calasanz, Medellín, Antioquia, Colombia  "
98,3,https://www.lahaus.com/p/apartamento-en-barrio-la-america-la-america-tres-alcobas/medellin,235,3,"    Barrio La América, Medellín, Antioquia, Colombia  "
105,3,https://www.lahaus.com/p/apartamento-en-conquistadores-laureles-105mt-tres-alcobas-balcon-72114/medellin,445,3,"    Conquistadores, Medellín, Antioquia, Colombia  "
90,3,https://www.lahaus.com/p/venta-apartamento-en-robledo-piso-16-con-salon-de-estudio/medellin,410,3,"    San Germán, Medellín, Antioquia, Colombia  "
73,3,https://www.lahaus.com/p/venta-apartamento-en-robledo-7-piso-sector-san-german/medellin,320,3,"    San Germán, Medellín, Antioquia, Colombia  "
225,3,https://www.lahaus.com/p/apartamento-en-venta-sector-calasanz-cod-19371/medellin,490,3,"    Calasanz, Medellín, Antioquia, Colombia  "
94,3,https://www.lahaus.com/p/apartamento-en-sector-simon-bolivar-con-3-habitaciones-94m2/medellin,440,3,"    Simón Bolívar, Medellín, Antioquia, Colombia  "
120,4,https://www.lahaus.com/p/apartamento-en-la-castellana-medellin-cuenta-con-cuatro-habitaciones/medellin,450,4,"    La Castellana, Medellín, Antioquia, Colombia  "
68,3,https://www.lahaus.com/p/apartamento-en-venta-en-rodeo-alto-belen-68mt-tres-alcobas-balcon/medellin,238,3,"    Rodeo Alto, Medellín, Antioquia, Colombia  "
161,3,https://www.lahaus.com/p/apartamento-en-medellin-belen-centro-3-habitaciones-161m2/medellin,350,3,"    Belén Centro, Medellín, Antioquia, Colombia  "
96,3,https://www.lahaus.com/p/venta-apartamento-colores-medellin-93761/medellin,480,3,"    Cuarta Brigada, Medellín, Antioquia, Colombia  "
126,4,https://www.lahaus.com/p/apartamento-en-venta-en-medellin-belen-la-palma-94347/medellin,350,4,"    Belén Centro, Medellín, Antioquia, Colombia  "
110,3,https://www.lahaus.com/p/apartamento-en-patio-bonito-poblado-110mt-tres-alcobas-turco-privado/medellin,470,3,"    Patio Bonito, Medellín, Antioquia, Colombia  "
66,3,https://www.lahaus.com/p/apartamento-en-belen-rodeo-alto-con-3-habitaciones-66-mt2/medellin,225,3,"    Rodeo Alto, Medellín, Antioquia, Colombia  "
95,3,https://www.lahaus.com/p/apartamento-en-laureles-medellin-17630/medellin,440,3,"    La Castellana, Medellín, Antioquia, Colombia  "
120,4,https://www.lahaus.com/p/apartamento-duplex-en-venta-calasanz-medellin/medellin,350,4,"    Calasanz, Medellín, Antioquia, Colombia  "
140,3,https://www.lahaus.com/p/venta-apartamento-en-barrio-tejelo-primer-piso/medellin,240,3,"    Tejelo, Medellín, Antioquia, Colombia  "
78,3,https://www.lahaus.com/p/apartamento-78-mt2-ubicado-en-la-candelaria-prado-3-habitaciones/medellin,240,3,"    Prado, Medellín, Antioquia, Colombia  "
88,3,https://www.lahaus.com/p/apartamento-en-laureles-laureles-88mt-tres-alcobas-balcon/medellin,345,3,"    Barrio Laureles, Medellín, Antioquia, Colombia  "
70,3,https://www.lahaus.com/p/apartamento-en-robledo-la-pilarica-con-3-habitaciones-70-mt2-86764/medellin,270,3,"    La Pilarica, Medellín, Antioquia, Colombia  "
114,3,https://www.lahaus.com/p/apartamento-paraventa-codigo-1168/medellin,420,3,"    Barrio Laureles, Medellín, Antioquia, Colombia  "
80,3,https://www.lahaus.com/p/venta-apartamento-santa-monica-medellin-93771/medellin,205,3,"    Santa Mónica, Medellín, Antioquia, Colombia  "
81,3,https://www.lahaus.com/p/apartamento-en-la-america-santa-monica-con-3-habitaciones-81-mt2/medellin,356,3,"    Santa Mónica, Medellín, Antioquia, Colombia  "
75,3,https://www.lahaus.com/p/apartamento-en-belen-los-molinos-75-mts2-3-habitaciones/medellin,270,3,"    Universidad Medellín, Medellín, Antioquia, Colombia  "
95,3,https://www.lahaus.com/p/apartamento-en-venta-sector-los-colores/medellin,290,3,"    Los Colores, Medellín, Antioquia, Colombia  "
110,3,https://www.lahaus.com/p/apartamento-en-venta-en-medellin-santa-maria-de-los-angeles-22871/medellin,399,3,"    Santa María de los Ángeles, Medellín, Antioquia, Colombia  "
180,4,https://www.lahaus.com/p/se-vende-apartamento-en-el-centro-de-medellin/medellin,340,4,"    La Candelaria, Medellín, Antioquia, Colombia  "
92,3,https://www.lahaus.com/p/apartamento-para-la-venta-en-medellin-sector-simon-bolivar-cod-9280/medellin,300,3,"    Simón Bolívar, Medellín, Antioquia, Colombia  "
78,3,https://www.lahaus.com/p/apartamento-en-venta-sector-san-german-los-colores-cod-18897/medellin,367,3,"    San Germán, Medellín, Antioquia, Colombia  "
65,3,https://www.lahaus.com/p/apartamento-en-rodeo-alto-belen-tres-alcobas-70858/medellin,225,3,"    Rodeo Alto, Medellín, Antioquia, Colombia  "
157,3,https://www.lahaus.com/p/apartamento-en-la-america-calasanz-con-3-habitaciones-157-mt2/medellin,415,3,"    Calasanz, Medellín, Antioquia, Colombia  "
96,3,https://www.lahaus.com/p/apartamento-en-venta-en-belen-rosales-109631/medellin,310,3,"    Belén Centro, Medellín, Antioquia, Colombia  "
110,3,https://www.lahaus.com/p/apartamento-en-venta-en-medellin-loma-los-gonzalez/medellin,460,3,"    Los Balsos, Medellín, Antioquia, Colombia  "
102,3,https://www.lahaus.com/p/apartamento-en-venta-conquistadores-medellin-96498/medellin,390,3,"    Conquistadores, Medellín, Antioquia, Colombia  "
