area,bath_rooms,link,price,rooms,zone
                    88,2,https://www.fincaraiz.com.co/apartamento-en-venta/la-ceja/san_cayetano-det-5103750.aspx,235,3,La Ceja San Cayetano
                    75,2,https://www.fincaraiz.com.co/apartamento-en-venta/itagui/suramerica-det-5377086.aspx,315,3,Itaguí SURAMERICA
                    90,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/cumbres-det-5415125.aspx,370,3,Envigado Cumbres
                    86,2,https://www.fincaraiz.com.co/apartamento-en-venta/sabaneta/restrepo_naranjo-det-5240190.aspx,385,3,Sabaneta RESTREPO NARANJO
                    95,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/velodromo-det-5233146.aspx,345,3,Medellín Velodromo
                    76,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/mota-det-5227466.aspx,298,3,Medellín La Mota
                    57,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/loma_del_barro-det-5344961.aspx,234,3,Envigado Loma Del Barro
                    63,2,https://www.fincaraiz.com.co/apartamento-en-venta/bello/cabanas-det-5361801.aspx,231,3,Bello Cabañas
                    62,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/las_cometas-det-5406146.aspx,212,3,Envigado Las Cometas
                    63,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/san_jose-det-5410326.aspx,236,3,Envigado San Jose
                    91,2,https://www.fincaraiz.com.co/apartamento-en-venta/itagui/villa_paula-det-5401769.aspx,200,3,Itaguí Villa Paula
                    76,2,https://www.fincaraiz.com.co/apartamento-en-venta/sabaneta/prados-det-3965561.aspx,320,3,Sabaneta Prados
                    80,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/belen_fatima-det-5288082.aspx,270,3,Medellín Belén Fatima
                    80,2,https://www.fincaraiz.com.co/apartamento-en-venta/sabaneta/aves_maria-det-4983164.aspx,340,3,Sabaneta Aves Maria
                    84,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/occidente_calasanz-det-4851773.aspx,270,3,Medellín Occidente Calasanz
                    67,2,https://www.fincaraiz.com.co/apartamento-en-venta/la-estrella/brisas-det-4763496.aspx,250,3,La Estrella Brisas
                    96,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-4925601.aspx,365,3,Medellín El Poblado
                    65,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_los_bernal-det-5405981.aspx,220,3,Medellín Loma de los Bernal
                    71,2,https://www.fincaraiz.com.co/apartamento-en-venta/sabaneta/living-det-5201923.aspx,300,3,Sabaneta Living
                    65,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/occidente_robledo-det-5360751.aspx,215,3,Medellín Occidente robledo
                    76,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/pilarica-det-4970261.aspx,280,3,Medellín La Pilarica
                    96,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/granada-det-5248082.aspx,310,3,Medellín Granada
                    68,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/los_colores-det-5252784.aspx,295,3,Medellín Los Colores
                    95,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/loma_esmeraldal-det-5357072.aspx,380,3,Envigado LOMA ESMERALDAL
                    82,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/zona_suroriental-det-5331325.aspx,315,3,Medellín Zona 5 Suroriental
                    94,2,https://www.fincaraiz.com.co/apartamento-en-venta/la-estrella/suramerica-det-5410694.aspx,375,3,La Estrella Suramerica
                    69,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/belen_san_bernardo-det-5389252.aspx,230,3,Medellín BELEN SAN BERNARDO
                    72,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/las_cometas-det-5281946.aspx,285,3,Envigado LAS COMETAS
                    70,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/calasanz-det-5367694.aspx,298,3,Medellín Calasanz
                    70,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/los_colores-det-5370840.aspx,330,3,Medellín LOS COLORES
                    70,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/san_german-det-4298266.aspx,305,3,Medellín San Germán
                    103,2,https://www.fincaraiz.com.co/apartamento-en-venta/itagui/suramerica-det-5284871.aspx,380,3,Itaguí Suramerica
                    74,2,https://www.fincaraiz.com.co/apartamento-en-venta/sabaneta/maria_auxiliadora-det-5394067.aspx,300,3,Sabaneta Maria Auxiliadora
                    79,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/calasanz-det-4320336.aspx,280,3,Medellín Calasanz
                    70,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/senorial-det-4210792.aspx,330,3,Envigado Señorial
                    8.645,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/belen-det-4858123.aspx,350,3,Medellín BELEN
                    80,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/calasanz-det-5250153.aspx,310,3,Medellín Calasanz
                    95,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/laureles-det-5388902.aspx,320,3,Medellín LAURELES
                    60,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-5331330.aspx,249,3,Medellín Loma del Indio
                    94,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/belen-det-5169558.aspx,380,3,Medellín Belén
                    73,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/calasanz-det-5007518.aspx,310,3,Medellín Calasanz
                    63,2,https://www.fincaraiz.com.co/apartamento-en-venta/itagui/suramerica-det-5321453.aspx,305,3,Itaguí Suramerica
                    77,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/calasanz_occidente-det-5129384.aspx,320,3,Medellín Calasanz Occidente
                    71,2,https://www.fincaraiz.com.co/apartamento-en-venta/bello/niquia-det-5068180.aspx,280,3,Bello niquia
                    72,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/las_merecedes-det-5390439.aspx,230,3,Medellín LAS MERECEDES
                    82,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/camino_verde-det-5277860.aspx,375,3,Envigado Camino Verde
                    68,2,https://www.fincaraiz.com.co/apartamento-en-venta/sabaneta/san_jose-det-4939657.aspx,280,3,Sabaneta San José
                    96,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/laureles-det-5343485.aspx,380,3,Medellín Laureles
                    95,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/loma_del_esmeraldal-det-4788322.aspx,400,3,Envigado Loma del Esmeraldal
                    69,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/dorado-det-5405830.aspx,310,3,Envigado El Dorado
                    74,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_san_julian-det-4277402.aspx,355,3,Medellín Loma de San Julian
                    65,2,https://www.fincaraiz.com.co/apartamento-en-venta/itagui/suramerica-det-5404959.aspx,280,3,Itaguí Suramerica
                    80,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/abadia-det-5413722.aspx,350,3,Envigado LA ABADIA
                    86,2,https://www.fincaraiz.com.co/apartamento-en-venta/otros-municipios/los_bernal-det-5365813.aspx,380,3,Otros Municipios Los Bernal
                    68,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/suroccidente-det-5400524.aspx,235,3,Medellín SurOccidente
                    62,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/cuenca-det-5408050.aspx,270,3,Envigado LA CUENCA
                    81,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/paz-det-5375707.aspx,340,3,Envigado LA PAZ
                    78,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/los_colores-det-5406302.aspx,355,3,Medellín Los Colores
                    85,2,https://www.fincaraiz.com.co/apartamento-en-venta/sabaneta/sabaneta-det-4845662.aspx,360,3,Sabaneta SABANETA
                    70,2,https://www.fincaraiz.com.co/apartamento-en-venta/sabaneta/diagonal_mayorca-det-5282700.aspx,275,3,Sabaneta Diagonal al CC Mayorca
                    75,2,https://www.fincaraiz.com.co/apartamento-en-venta/bello/las_cabanitas-det-5230602.aspx,230,3,Bello LAS CABAÑITAS
                    57,2,https://www.fincaraiz.com.co/apartamento-en-venta/rionegro/fontibon-det-5273789.aspx,215,3,Rionegro Fontibón
                    68,2,https://www.fincaraiz.com.co/apartamento-en-venta/sabaneta/aves_maria-det-5357240.aspx,260,3,Sabaneta AVES MARIA
                    77,2,https://www.fincaraiz.com.co/apartamento-en-venta/sabaneta/san_jose-det-5350364.aspx,335,3,Sabaneta San José
                    74,2,https://www.fincaraiz.com.co/apartamento-en-venta/la-estrella/san_angel-det-5362793.aspx,290,3,La Estrella SAN ANGEL
                    115,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/occidente_belen_palma-det-5040486.aspx,380,3,Medellín Occidente Belen La Palma
                    90,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/altamira-det-5300961.aspx,210,3,Medellín Altamira
                    96,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/estadio-det-4983416.aspx,310,3,Medellín ESTADIO
                    83,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/loma_del_barro-det-3591028.aspx,350,3,Envigado LOMA DEL BARRO
                    111,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/san_joaquin-det-4685322.aspx,330,3,Medellín San Joaquin
                    64,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/pilarica-det-5288514.aspx,245,3,Medellín La Pilarica
                    71,2,https://www.fincaraiz.com.co/apartamento-en-venta/la-estrella/ditaires-det-5276792.aspx,300,3,La Estrella Ditaires
                    60,2,https://www.fincaraiz.com.co/apartamento-en-venta/sabaneta/doctora-det-5354629.aspx,210,3,Sabaneta LA DOCTORA
                    83,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/los_colores-det-5341947.aspx,330,3,Medellín Los Colores
                    65,2,https://www.fincaraiz.com.co/apartamento-en-venta/bello/niquia-det-5240124.aspx,263,3,Bello NIQUIA
                    80,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/santa_los_angeles-det-5288323.aspx,350,3,Medellín Santa M de los Angeles
                    80,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/robledo-det-5204068.aspx,320,3,Medellín Robledo
                    65,2,https://www.fincaraiz.com.co/casa-en-venta/sabaneta/san_joaquinsabaneta-det-5241423.aspx,255,3,Sabaneta San JoaquínSabaneta
                    86,2,https://www.fincaraiz.com.co/apartamento-en-venta/el-retiro/retiro-det-5403937.aspx,360,3,El Retiro El Retiro
                    87,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/los_bernal-det-5103447.aspx,350,3,Medellín LOS BERNAL
                    78,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/los_colores-det-5320732.aspx,370,3,Medellín Los Colores
                    65,2,https://www.fincaraiz.com.co/apartamento-en-venta/envigado/senorial-det-5381286.aspx,310,3,Envigado Señorial
                    60,2,https://www.fincaraiz.com.co/apartamento-en-venta/la-estrella/bavaria-det-4929764.aspx,245,3,La Estrella Bavaria
                    65,2,https://www.fincaraiz.com.co/apartamento-en-venta/medellin/santa_monica-det-5394552.aspx,260,3,Medellín Santa Mónica
                    94,2,https://www.fincaraiz.com.co/apartamento-en-venta/sabaneta/las_lomitas-det-5414006.aspx,385,3,Sabaneta LAS LOMITAS
                    72,2,https://www.fincaraiz.com.co/apartamento-en-venta/bello/bello-det-5321117.aspx,270,3,Bello BELLO
